time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-07-06 04:00:00,30496.55,30539.54,30452.59,30465.99,75.629284,2306885.65199099,2023-07-06,1,0.0
2023-07-06 05:00:00,30465.99,30627.85,30440.8,30582.0,151.568576,4629799.92265591,2023-07-06,0,0.07831415454775724
2023-07-06 06:00:00,30582.0,30724.86,30560.1,30692.01,239.939415,7353992.16005197,2023-07-06,0,0.2349082238268302
2023-07-06 07:00:00,30692.01,30853.89,30691.24,30801.0,266.201838,8193810.21641472,2023-07-06,0,0.39005037100187484
2023-07-06 08:00:00,30801.0,31357.99,30779.29,31327.67,748.204348,23255401.4420711,2023-07-06,-1,1.139740385247946
2023-07-06 09:00:00,31327.67,31520.04,31025.4,31063.5,1389.622121,43475575.04543568,2023-07-06,0,0.7637067948338652
2023-07-06 10:00:00,31063.5,31273.54,31061.51,31229.5,384.865249,11988014.7381881,2023-07-06,-1,1.0
2023-07-06 11:00:00,31229.5,31263.14,30690.0,30843.5,913.841706,28302660.62800205,2023-07-06,0,0.45054712533657815
2023-07-06 12:00:00,30843.5,30882.49,30493.75,30600.19,730.431361,22401492.41463237,2023-07-06,0,0.10420676540300836
2023-07-06 13:00:00,30600.19,30662.86,30305.0,30363.18,677.033217,20645228.72091249,2023-07-06,0,-0.23316584035858948
2023-07-06 14:00:00,30363.18,30429.49,29870.0,30219.41,1613.626911,48597880.31402043,2023-07-06,1,0.0
2023-07-06 15:00:00,30219.41,30488.47,30078.22,30408.74,558.423589,16910937.28680043,2023-07-06,0,1.3337796128239723
2023-07-06 16:00:00,30408.74,30470.01,30167.39,30313.83,693.139756,21044369.20256888,2023-07-06,0,0.3511796421936497
2023-07-06 17:00:00,30313.83,30345.8,30207.84,30295.26,208.189528,6302625.63102441,2023-07-06,0,0.1589250699187745
2023-07-06 18:00:00,30295.26,30397.22,30211.85,30376.5,185.378814,5616335.61594022,2023-07-06,-1,1.0
2023-07-06 19:00:00,30376.5,30376.5,30257.84,30311.85,208.029341,6303391.28851677,2023-07-06,0,0.3306807701901603
2023-07-06 20:00:00,30311.85,30343.71,30250.0,30313.57,150.011057,4544363.10376326,2023-07-06,0,0.34848787112246776
2023-07-06 21:00:00,30313.57,30343.71,30183.41,30221.51,207.81391,6286923.72537774,2023-07-06,0,-0.6046061473816828
2023-07-06 22:00:00,30221.51,30263.53,30103.2,30164.86,215.068095,6491870.53200723,2023-07-06,0,-1.1911016519249946
2023-07-06 23:00:00,30164.86,30164.86,29855.0,29892.52,813.171475,24381577.68306037,2023-07-06,1,0.0
2023-07-07 00:00:00,29892.52,30105.08,29674.61,30053.17,1046.112579,31232996.47191555,2023-07-07,0,1.0550445436899103
2023-07-07 01:00:00,30053.17,30120.0,29965.71,30089.21,243.736222,7326831.01311069,2023-07-07,0,1.432245693762152
2023-07-07 02:00:00,30089.21,30145.17,30059.81,30103.79,201.454514,6063500.65048812,2023-07-07,0,1.5848426074151434
2023-07-07 03:00:00,30103.79,30167.47,30069.18,30142.51,188.086222,5664141.51619652,2023-07-07,0,1.9900931215881705
2023-07-07 04:00:00,30142.51,30172.58,30080.14,30093.02,132.94902,4004503.57568046,2023-07-07,1,0.0
2023-07-07 05:00:00,30093.02,30304.93,30060.21,30212.37,255.144989,7706263.30812662,2023-07-07,-1,1.0
2023-07-07 06:00:00,30212.37,30244.45,30107.92,30125.17,288.928532,8719249.77375524,2023-07-07,0,-0.475372603866854
2023-07-07 07:00:00,30125.17,30144.46,29937.09,30014.14,305.592285,9186294.33560777,2023-07-07,1,0.0
2023-07-07 08:00:00,30014.14,30100.0,29975.17,30056.19,167.350591,5028382.37907934,2023-07-07,0,-0.19780727733039452
2023-07-07 09:00:00,30056.19,30186.61,30055.17,30140.51,116.401831,3507300.76358358,2023-07-07,0,0.7268389702618323
